Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
370011,1,1/5/2016,1/14/2016,1522590,47,32,2,USD
370012,1,1/5/2016,1/14/2016,1780669,53,1585,3,USD
370013,1,1/5/2016,1/14/2016,5097,6,5,2,AUD
370014,1,1/5/2016,1/14/2016,1475886,51,1622,2,USD
371000,1,1/6/2016,1/14/2016,728834,30,81,2,EUR
371001,1,1/6/2016,1/14/2016,76021,2,77,3,AUD
371002,1,1/6/2016,1/14/2016,1955971,53,80,4,USD
371003,1,1/6/2016,1/14/2016,778259,28,1074,6,EUR
371004,1,1/6/2016,1/14/2016,1378439,0,1305,8,USD
371005,1,1/6/2016,1/15/2016,1923558,48,58,1,USD
371006,1,1/6/2016,1/15/2016,1501383,0,1279,1,USD
371007,1,1/6/2016,1/18/2016,1378439,0,1639,1,USD
371008,1,1/6/2016,1/14/2016,2053617,50,961,1,USD
371010,1,1/6/2016,1/14/2016,1716584,53,2491,5,USD
371011,1,1/6/2016,1/14/2016,776266,0,458,5,EUR
371012,1,1/6/2016,1/14/2016,363872,8,147,1,CAD
371014,1,1/6/2016,1/14/2016,1161615,40,89,4,GBP
371015,1,1/6/2016,1/14/2016,1669745,0,1679,5,USD
371016,1,1/6/2016,1/22/2016,879778,32,1704,2,EUR
371017,1,1/6/2016,1/22/2016,1918687,61,2084,5,USD
371018,1,1/6/2016,1/22/2016,1041466,36,534,1,GBP
371019,1,1/6/2016,1/22/2016,916074,41,2506,2,GBP
372000,1,1/7/2016,1/22/2016,1413890,0,148,3,USD
372001,1,1/7/2016,1/15/2016,1412534,63,1286,1,USD
372002,1,1/7/2016,1/15/2016,1718240,47,1299,7,USD
372003,1,1/7/2016,1/15/2016,527409,19,1604,3,EUR
372004,1,1/7/2016,1/15/2016,711449,30,922,9,EUR
372005,1,1/7/2016,1/15/2016,302130,9,411,3,CAD
372006,1,1/7/2016,1/15/2016,2095742,0,125,2,USD
372007,1,1/7/2016,1/14/2016,1982994,61,1148,4,USD
372008,1,1/7/2016,1/14/2016,1214363,53,183,1,USD
372010,1,1/7/2016,1/14/2016,784075,29,90,7,EUR
372011,1,1/7/2016,1/14/2016,739625,29,1572,1,EUR
372012,1,1/7/2016,1/14/2016,195521,6,468,1,AUD
372013,1,1/7/2016,1/14/2016,1042966,38,1259,2,GBP
372016,1,1/7/2016,1/14/2016,1170323,42,1581,2,GBP
373000,1,1/8/2016,1/14/2016,1367439,0,2509,3,USD
373002,1,1/8/2016,1/14/2016,1750554,48,1859,5,USD
373003,1,1/8/2016,1/14/2016,2082534,56,67,3,USD
373004,1,1/8/2016,1/14/2016,460587,24,1765,3,EUR
373005,1,1/8/2016,1/14/2016,1763365,65,342,2,USD
373007,1,1/8/2016,1/14/2016,351747,0,103,2,CAD
373008,1,1/8/2016,1/19/2016,536845,23,535,3,EUR
373009,1,1/8/2016,1/19/2016,1064519,0,1589,4,GBP
373010,1,1/8/2016,1/20/2016,538801,27,2492,6,EUR
373011,1,1/8/2016,1/20/2016,82415,4,440,2,AUD
374000,1,1/9/2016,1/20/2016,1971983,48,737,5,USD
374001,1,1/9/2016,1/20/2016,2050933,47,1429,1,USD
374002,1,1/9/2016,1/20/2016,320030,8,1991,8,CAD
374003,1,1/9/2016,1/20/2016,1188400,38,1606,1,GBP
374005,1,1/9/2016,1/20/2016,239647,8,1197,2,CAD
374006,1,1/9/2016,1/20/2016,1387959,65,1622,6,USD
374007,1,1/9/2016,1/20/2016,800548,31,1631,3,EUR
374008,1,1/9/2016,1/20/2016,789641,29,1217,4,EUR
374009,1,1/9/2016,1/20/2016,728541,30,538,3,EUR
374010,1,1/9/2016,1/20/2016,665776,12,1632,3,EUR
374011,1,1/9/2016,1/20/2016,174622,5,1256,8,AUD
374012,1,1/9/2016,1/20/2016,1758208,0,1280,1,USD
374013,1,1/9/2016,1/18/2016,733080,29,533,5,EUR
374015,1,1/9/2016,1/18/2016,1451748,55,107,7,USD
374016,1,1/9/2016,1/18/2016,1535357,45,9,5,USD
374017,1,1/9/2016,1/18/2016,1558964,63,1630,1,USD
374018,1,1/9/2016,1/18/2016,1010049,38,1615,5,GBP
374019,1,1/9/2016,1/18/2016,193216,6,1109,3,AUD
375000,1,1/10/2016,1/18/2016,1084570,0,1636,1,GBP
376000,1,1/11/2016,1/20/2016,1862500,43,69,1,USD
376001,1,1/11/2016,1/20/2016,813685,32,131,1,EUR
376003,1,1/11/2016,1/20/2016,797322,30,425,3,EUR
376004,1,1/11/2016,1/20/2016,1905050,45,1635,6,USD
376005,1,1/11/2016,1/20/2016,305321,8,1352,3,CAD
377000,1,1/12/2016,1/20/2016,1589958,64,1625,6,USD
377002,1,1/12/2016,1/20/2016,1897822,50,1612,1,USD
377003,1,1/12/2016,1/20/2016,1129200,40,1942,6,GBP
377004,1,1/12/2016,1/20/2016,1136143,42,460,4,GBP
377005,1,1/12/2016,1/20/2016,1022980,37,1634,1,GBP
377006,1,1/12/2016,1/20/2016,934781,0,1432,1,GBP
377007,1,1/12/2016,1/24/2016,86126,6,1665,1,AUD
378000,1,1/13/2016,1/24/2016,1062632,37,170,1,GBP
378001,1,1/13/2016,1/24/2016,1976355,66,2467,3,USD
378002,1,1/13/2016,1/24/2016,1599716,45,1578,1,USD
378003,1,1/13/2016,1/24/2016,774742,29,1609,1,EUR
378004,1,1/13/2016,1/24/2016,368190,8,2504,1,CAD
378005,1,1/13/2016,1/24/2016,1470803,44,137,9,USD
378006,1,1/13/2016,1/24/2016,917347,38,1266,7,GBP
378007,1,1/13/2016,1/24/2016,707089,30,1582,1,EUR
378008,1,1/13/2016,1/24/2016,1035789,39,1619,2,GBP
378009,1,1/13/2016,1/24/2016,270736,8,336,3,CAD
378010,1,1/13/2016,1/24/2016,437389,19,145,3,EUR
379000,1,1/14/2016,1/24/2016,1171088,39,443,4,GBP
379001,1,1/14/2016,1/24/2016,1165542,40,1253,1,GBP
379002,1,1/14/2016,1/24/2016,716015,0,106,2,EUR
379004,1,1/14/2016,1/27/2016,245912,0,321,2,CAD
379005,1,1/14/2016,1/26/2016,1104029,37,1766,4,GBP
379008,1,1/14/2016,1/26/2016,793968,30,76,3,EUR
379009,1,1/14/2016,1/26/2016,1556602,61,375,4,USD
379011,1,1/14/2016,1/26/2016,1291414,48,1280,3,USD
380000,1,1/15/2016,1/26/2016,1614172,57,1676,3,USD
380001,1,1/15/2016,1/26/2016,1530756,66,641,3,USD
380003,1,1/15/2016,1/26/2016,627789,17,172,3,EUR
380004,1,1/15/2016,1/26/2016,1909649,66,1114,1,USD
380005,1,1/15/2016,1/26/2016,770856,30,1705,2,EUR
380006,1,1/15/2016,1/26/2016,549983,27,1969,7,EUR
381001,1,1/16/2016,1/26/2016,780974,29,2397,3,EUR
381002,1,1/16/2016,1/26/2016,2042097,0,1283,1,USD
381003,1,1/16/2016,1/23/2016,1631876,61,1619,6,USD
381004,1,1/16/2016,1/23/2016,1914255,53,960,2,USD
381005,1,1/16/2016,1/23/2016,1803346,50,1946,10,USD
381006,1,1/16/2016,1/23/2016,1364334,64,1029,1,USD
381007,1,1/16/2016,1/23/2016,1202659,48,1246,1,USD
381008,1,1/16/2016,1/23/2016,982850,42,1707,2,GBP
381009,1,1/16/2016,1/23/2016,1187611,42,2086,4,GBP
381010,1,1/16/2016,1/23/2016,1554137,66,1671,3,USD
381011,1,1/16/2016,1/23/2016,1302333,45,450,1,USD
381012,1,1/16/2016,1/23/2016,2072376,0,1759,2,USD
381013,1,1/16/2016,1/21/2016,1984685,0,1583,1,USD
383000,1,1/18/2016,1/28/2016,1768548,51,1623,3,USD
383001,1,1/18/2016,1/28/2016,1584109,61,994,1,USD
383002,1,1/18/2016,1/28/2016,1650783,57,1145,1,USD
383003,1,1/18/2016,1/28/2016,568160,19,959,3,EUR
383004,1,1/18/2016,1/28/2016,1670107,59,1248,3,USD
384000,1,1/19/2016,1/28/2016,622740,17,144,5,EUR
384001,1,1/19/2016,1/28/2016,780674,29,301,2,EUR
384002,1,1/19/2016,1/28/2016,1263974,43,61,2,USD
384003,1,1/19/2016,1/28/2016,1369624,64,420,4,USD
384004,1,1/19/2016,1/28/2016,1316297,0,1150,2,USD
384005,1,1/19/2016,1/25/2016,1022895,37,1597,4,GBP
384006,1,1/19/2016,1/25/2016,247132,9,752,1,CAD
384007,1,1/19/2016,1/25/2016,14180,6,494,3,AUD
385000,1,1/20/2016,1/25/2016,1110691,0,1586,8,GBP
385002,1,1/20/2016,1/30/2016,844832,31,424,2,EUR
385003,1,1/20/2016,1/30/2016,624165,18,1928,3,EUR
385004,1,1/20/2016,1/30/2016,332332,8,2162,1,CAD
385005,1,1/20/2016,1/30/2016,1251726,57,2120,3,USD
385006,1,1/20/2016,1/30/2016,724534,28,135,4,EUR
385007,1,1/20/2016,1/30/2016,1273837,61,1112,8,USD
385008,1,1/20/2016,1/30/2016,667318,16,1195,1,EUR
385009,1,1/20/2016,1/30/2016,1720050,61,6,1,USD
385010,1,1/20/2016,1/30/2016,483118,20,61,6,EUR
386000,1,1/21/2016,1/30/2016,748749,30,443,2,EUR
386001,1,1/21/2016,1/30/2016,1912666,0,1996,2,USD
386002,1,1/21/2016,2/2/2016,1525000,43,581,3,USD
386003,1,1/21/2016,2/2/2016,265825,8,1646,1,CAD
386004,1,1/21/2016,2/2/2016,2085055,45,1222,3,USD
386005,1,1/21/2016,2/2/2016,345812,0,1600,1,CAD
386006,1,1/21/2016,1/28/2016,348548,10,1271,2,CAD
386008,1,1/21/2016,1/28/2016,2093929,56,313,2,USD
386009,1,1/21/2016,1/28/2016,522652,19,1859,4,EUR
386010,1,1/21/2016,1/28/2016,1775819,57,155,6,USD
386011,1,1/21/2016,1/28/2016,541598,0,54,6,EUR
387000,1,1/22/2016,1/26/2016,224434,0,1729,2,CAD
387001,1,1/22/2016,1/27/2016,2011796,51,39,5,USD
387002,1,1/22/2016,1/27/2016,1368025,44,429,2,USD
387003,1,1/22/2016,1/27/2016,368610,8,144,5,CAD
387004,1,1/22/2016,1/27/2016,1307296,53,709,6,USD
387005,1,1/22/2016,1/27/2016,938399,36,1816,3,GBP
387006,1,1/22/2016,1/27/2016,1616350,51,1576,1,USD
387007,1,1/22/2016,1/27/2016,549936,24,1264,2,EUR
388000,1,1/23/2016,1/27/2016,97611,5,928,6,AUD
388001,1,1/23/2016,1/27/2016,1730210,0,1616,1,USD
388002,1,1/23/2016,1/31/2016,962533,36,460,2,GBP
388003,1,1/23/2016,1/31/2016,205077,10,90,8,CAD
388004,1,1/23/2016,1/31/2016,776431,0,2104,1,EUR
388005,1,1/23/2016,1/30/2016,1893487,55,1601,4,USD
388006,1,1/23/2016,1/30/2016,1098143,41,1393,3,GBP
388007,1,1/23/2016,1/30/2016,1112613,42,459,4,GBP
388008,1,1/23/2016,1/30/2016,1170323,41,640,6,GBP
388009,1,1/23/2016,1/30/2016,930705,40,1585,3,GBP
388010,1,1/23/2016,1/30/2016,1001228,39,827,4,GBP
388011,1,1/23/2016,1/30/2016,1702898,61,454,5,USD
388012,1,1/23/2016,1/30/2016,2086544,50,2113,1,USD
388013,1,1/23/2016,1/30/2016,1559552,0,1657,1,USD
388014,1,1/23/2016,2/6/2016,1671541,57,1586,1,USD
390000,1,1/25/2016,2/6/2016,1699570,59,1581,1,USD
390001,1,1/25/2016,2/6/2016,1301552,51,189,2,USD
390002,1,1/25/2016,2/6/2016,2029518,0,537,3,USD
390003,1,1/25/2016,2/2/2016,253233,10,1635,1,CAD
390004,1,1/25/2016,2/2/2016,1321513,48,152,2,USD
390005,1,1/25/2016,2/2/2016,549766,22,1558,3,EUR
391000,1,1/26/2016,2/2/2016,881876,32,2108,1,EUR
391001,1,1/26/2016,2/2/2016,361945,0,1841,1,CAD
391002,1,1/26/2016,2/4/2016,1201225,45,1636,1,USD
391003,1,1/26/2016,2/4/2016,1427869,44,1370,1,USD
391004,1,1/26/2016,2/4/2016,444160,19,1588,3,EUR
391006,1,1/26/2016,2/4/2016,1885990,51,1467,1,USD
391007,1,1/26/2016,2/4/2016,125950,6,1705,1,AUD
392000,1,1/27/2016,2/4/2016,1302998,51,1613,3,USD
392001,1,1/27/2016,2/4/2016,1227891,54,155,2,USD
392002,1,1/27/2016,2/4/2016,1855347,59,430,2,USD
392003,1,1/27/2016,2/4/2016,1471397,0,156,8,USD
392004,1,1/27/2016,2/1/2016,401785,0,2118,3,EUR
392005,1,1/27/2016,2/9/2016,1458301,48,1586,1,USD
392006,1,1/27/2016,2/9/2016,1310403,65,149,6,USD
392007,1,1/27/2016,2/9/2016,1079159,41,84,5,GBP
392008,1,1/27/2016,2/9/2016,992150,39,1659,3,GBP
392009,1,1/27/2016,2/9/2016,1724829,54,2161,3,USD
392010,1,1/27/2016,2/9/2016,651767,18,1629,5,EUR
393001,1,1/28/2016,2/9/2016,530451,19,2267,7,EUR
393002,1,1/28/2016,2/9/2016,792110,28,662,9,EUR
393003,1,1/28/2016,2/9/2016,1188400,38,2000,2,GBP
393004,1,1/28/2016,2/9/2016,2007813,0,415,3,USD
393005,1,1/28/2016,2/6/2016,1112419,39,175,6,GBP
393006,1,1/28/2016,2/6/2016,1765324,51,417,2,USD
393007,1,1/28/2016,2/6/2016,1206405,45,1763,1,USD
393008,1,1/28/2016,2/6/2016,1823888,57,2038,1,USD
393009,1,1/28/2016,2/6/2016,1765579,56,2024,1,USD
393010,1,1/28/2016,2/6/2016,313968,0,1616,7,CAD
394000,1,1/29/2016,2/9/2016,1736019,0,979,1,USD
394001,1,1/29/2016,2/9/2016,186894,5,1228,5,AUD
394002,1,1/29/2016,2/9/2016,452923,27,1695,1,EUR
394003,1,1/29/2016,2/9/2016,431461,27,326,2,EUR
394004,1,1/29/2016,2/9/2016,602720,16,1417,2,EUR
394005,1,1/29/2016,2/9/2016,1810401,65,174,4,USD
394006,1,1/29/2016,2/9/2016,1041067,37,1802,6,GBP
394007,1,1/29/2016,2/9/2016,1337730,63,2077,5,USD
395000,1,1/30/2016,2/9/2016,829132,32,128,4,EUR
395001,1,1/30/2016,2/9/2016,216550,10,2089,3,CAD
395002,1,1/30/2016,2/9/2016,250944,8,105,3,CAD
395003,1,1/30/2016,2/9/2016,1296866,54,2355,2,USD
395004,1,1/30/2016,2/9/2016,2063107,45,1291,2,USD
395005,1,1/30/2016,2/9/2016,2082135,54,1630,5,USD
395006,1,1/30/2016,2/9/2016,127193,5,697,2,AUD
395007,1,1/30/2016,2/9/2016,1714451,54,1605,2,USD
395008,1,1/30/2016,2/9/2016,1401419,61,128,2,USD
395009,1,1/30/2016,2/9/2016,731556,29,1156,2,EUR
395010,1,1/30/2016,2/9/2016,1549964,55,1076,5,USD
395011,1,1/30/2016,2/9/2016,1114319,36,1587,1,GBP
395012,1,1/30/2016,2/9/2016,1418448,65,1784,7,USD
395014,1,1/30/2016,2/9/2016,1178352,42,1605,10,GBP
397000,1,2/1/2016,2/9/2016,1677739,55,1649,9,USD
397001,1,2/1/2016,2/9/2016,1140654,37,1458,6,GBP
397002,1,2/1/2016,2/9/2016,1348253,0,1607,2,USD
397003,1,2/1/2016,2/10/2016,760816,29,955,1,EUR
397004,1,2/1/2016,2/10/2016,1866421,0,123,2,USD
397005,1,2/1/2016,2/11/2016,1650783,64,1192,10,USD
398000,1,2/2/2016,2/11/2016,1110229,42,1799,1,GBP
398001,1,2/2/2016,2/11/2016,130214,5,1588,7,AUD
398002,1,2/2/2016,2/11/2016,1822089,44,160,4,USD
398003,1,2/2/2016,2/11/2016,1355155,51,31,1,USD
398004,1,2/2/2016,2/11/2016,1001493,36,70,2,GBP
398005,1,2/2/2016,2/11/2016,1761462,63,1642,5,USD
398006,1,2/2/2016,2/11/2016,857287,34,1274,1,EUR
398007,1,2/2/2016,2/11/2016,1042883,42,445,5,GBP
399000,1,2/3/2016,2/11/2016,1887449,64,1633,5,USD
399001,1,2/3/2016,2/11/2016,687377,12,1781,10,EUR
399002,1,2/3/2016,2/11/2016,1476450,51,2054,2,USD
399003,1,2/3/2016,2/11/2016,1232687,59,1631,5,USD
399004,1,2/3/2016,2/11/2016,822698,0,1058,3,EUR
399006,1,2/3/2016,2/10/2016,1363203,65,361,7,USD
399007,1,2/3/2016,2/10/2016,1191228,38,1576,1,GBP
399009,1,2/3/2016,2/10/2016,784001,28,735,5,EUR
399010,1,2/3/2016,2/10/2016,906625,36,1516,1,GBP
400000,1,2/4/2016,2/10/2016,1883755,61,138,2,USD
400001,1,2/4/2016,2/10/2016,264640,8,2037,1,CAD
400002,1,2/4/2016,2/10/2016,363872,9,54,1,CAD
400003,1,2/4/2016,2/10/2016,446883,27,164,8,EUR
400004,1,2/4/2016,2/10/2016,106880,5,1426,10,AUD
400005,1,2/4/2016,2/10/2016,2065817,65,1913,9,USD
400006,1,2/4/2016,2/10/2016,1996959,0,1284,3,USD
400007,1,2/4/2016,2/10/2016,1987941,63,152,5,USD
400009,1,2/4/2016,2/10/2016,1310047,45,1746,2,USD
400010,1,2/4/2016,2/10/2016,606808,0,1746,8,EUR
400011,1,2/4/2016,2/13/2016,1122248,37,458,2,GBP
401002,1,2/5/2016,2/13/2016,1787415,48,1583,2,USD
401003,1,2/5/2016,2/13/2016,376977,8,34,2,CAD
401004,1,2/5/2016,2/13/2016,1565847,47,667,6,USD
401005,1,2/5/2016,2/13/2016,953489,41,2044,7,GBP
401007,1,2/5/2016,2/13/2016,1774119,47,1494,3,USD
402000,1,2/6/2016,2/13/2016,1086200,37,1466,1,GBP
402001,1,2/6/2016,2/13/2016,732289,28,83,2,EUR
402002,1,2/6/2016,2/13/2016,1673191,47,1602,7,USD
402004,1,2/6/2016,2/13/2016,1906975,54,1134,5,USD
402005,1,2/6/2016,2/13/2016,941746,39,2301,7,GBP
402006,1,2/6/2016,2/13/2016,1763642,64,146,3,USD
402007,1,2/6/2016,2/13/2016,957784,41,1632,5,GBP
402008,1,2/6/2016,2/13/2016,1427596,61,191,3,USD
402009,1,2/6/2016,2/13/2016,783691,30,154,4,EUR
402010,1,2/6/2016,2/13/2016,1653624,0,974,3,USD
402011,1,2/6/2016,2/16/2016,1730479,59,147,4,USD
402012,1,2/6/2016,2/16/2016,1392371,51,505,8,USD
402013,1,2/6/2016,2/16/2016,729681,28,135,3,EUR
404000,1,2/8/2016,2/16/2016,1258466,54,136,3,USD
404001,1,2/8/2016,2/16/2016,495894,22,2153,2,EUR
404002,1,2/8/2016,2/16/2016,1324963,57,1612,3,USD
404004,1,2/8/2016,2/16/2016,368115,10,2502,1,CAD
404005,1,2/8/2016,2/16/2016,295597,0,491,1,CAD
405000,1,2/9/2016,2/15/2016,1548406,47,1683,2,USD
405001,1,2/9/2016,2/15/2016,1437592,50,375,8,USD
405002,1,2/9/2016,2/15/2016,474309,27,429,4,EUR
405003,1,2/9/2016,2/15/2016,582819,24,1648,3,EUR
405005,1,2/9/2016,2/15/2016,39894,0,1608,8,AUD
405006,1,2/9/2016,2/15/2016,622011,17,1618,1,EUR
405007,1,2/9/2016,2/15/2016,1906549,57,1413,2,USD
406000,1,2/10/2016,2/15/2016,1533894,50,1134,2,USD
406001,1,2/10/2016,2/15/2016,1610147,0,1684,5,USD
406002,1,2/10/2016,2/20/2016,1954639,47,1791,1,USD
406003,1,2/10/2016,2/20/2016,1310201,65,432,10,USD
406004,1,2/10/2016,2/20/2016,1389462,43,725,1,USD
406005,1,2/10/2016,2/20/2016,1883820,61,2495,7,USD
406006,1,2/10/2016,2/20/2016,761306,29,593,2,EUR
406007,1,2/10/2016,2/20/2016,1451764,0,1602,2,USD
406008,1,2/10/2016,2/16/2016,1827243,66,430,1,USD
406009,1,2/10/2016,2/16/2016,332217,8,537,3,CAD
406010,1,2/10/2016,2/16/2016,490481,20,1605,3,EUR
407000,1,2/11/2016,2/16/2016,526411,19,1369,3,EUR
407001,1,2/11/2016,2/16/2016,993480,37,1008,3,GBP
407002,1,2/11/2016,2/16/2016,1342915,0,1092,8,USD
407003,1,2/11/2016,2/14/2016,960606,38,1743,1,GBP
407004,1,2/11/2016,2/14/2016,307767,10,1674,2,CAD
407005,1,2/11/2016,2/14/2016,2043928,59,597,2,USD
407006,1,2/11/2016,2/14/2016,516663,27,1018,4,EUR
407007,1,2/11/2016,2/14/2016,224111,10,151,1,CAD
407009,1,2/11/2016,2/14/2016,367131,9,1863,6,CAD
407010,1,2/11/2016,2/14/2016,1380756,0,1580,1,USD
407011,1,2/11/2016,2/17/2016,1983649,50,596,1,USD
408001,1,2/12/2016,2/17/2016,322186,9,1252,5,CAD
408002,1,2/12/2016,2/17/2016,1297155,43,1279,3,USD
408003,1,2/12/2016,2/17/2016,1716565,61,1584,7,USD
408004,1,2/12/2016,2/17/2016,784296,29,1679,2,EUR
408005,1,2/12/2016,2/17/2016,1788888,57,449,6,USD
408006,1,2/12/2016,2/17/2016,1551319,61,157,3,USD
408007,1,2/12/2016,2/17/2016,656387,14,654,2,EUR
408008,1,2/12/2016,2/17/2016,326510,10,1707,4,CAD
408010,1,2/12/2016,2/17/2016,1908175,47,115,2,USD
409000,1,2/13/2016,2/17/2016,1747015,64,125,2,USD
409001,1,2/13/2016,2/17/2016,1856221,0,2094,2,USD
409002,1,2/13/2016,2/24/2016,1959938,66,560,7,USD
409003,1,2/13/2016,2/24/2016,919575,38,1315,1,GBP
409004,1,2/13/2016,2/24/2016,1303360,53,1634,1,USD
409005,1,2/13/2016,2/24/2016,1156077,42,1334,2,GBP
409006,1,2/13/2016,2/24/2016,1345382,56,2435,1,USD
409007,1,2/13/2016,2/24/2016,65163,5,1743,2,AUD
409008,1,2/13/2016,2/24/2016,581812,20,47,1,EUR
409009,1,2/13/2016,2/24/2016,824810,32,2488,4,EUR
409010,1,2/13/2016,2/24/2016,1179746,39,2093,2,GBP
409011,1,2/13/2016,2/24/2016,471223,23,437,5,EUR
409012,1,2/13/2016,2/24/2016,2044567,57,1243,5,USD
409013,1,2/13/2016,2/24/2016,1837049,64,1458,2,USD
409014,1,2/13/2016,2/24/2016,448232,19,451,10,EUR
409015,1,2/13/2016,2/24/2016,613693,15,1175,2,EUR
409016,1,2/13/2016,2/24/2016,1451919,63,1402,6,USD
409018,1,2/13/2016,2/24/2016,1083191,37,2023,1,GBP
409019,1,2/13/2016,2/24/2016,1157316,41,184,1,GBP
409020,1,2/13/2016,2/24/2016,250944,0,1977,1,CAD
409021,1,2/13/2016,2/22/2016,730203,0,1642,1,EUR
409022,1,2/13/2016,2/25/2016,944448,0,1850,4,GBP
410000,1,2/14/2016,2/25/2016,1349131,51,1605,1,USD
410001,1,2/14/2016,2/25/2016,316485,10,609,7,CAD
411000,1,2/15/2016,2/25/2016,761306,30,148,3,EUR
411001,1,2/15/2016,2/25/2016,1796950,63,1063,2,USD
411002,1,2/15/2016,2/25/2016,1965605,0,1616,4,USD
411003,1,2/15/2016,2/21/2016,1602459,65,86,3,USD
411004,1,2/15/2016,2/21/2016,1916734,61,1603,4,USD
411005,1,2/15/2016,2/21/2016,211746,9,80,1,CAD
411006,1,2/15/2016,2/21/2016,1627570,63,2090,2,USD
411007,1,2/15/2016,2/21/2016,950191,39,1599,3,GBP
411009,1,2/15/2016,2/21/2016,676059,17,1644,4,EUR
411010,1,2/15/2016,2/21/2016,1942072,59,608,5,USD
411011,1,2/15/2016,2/21/2016,1909649,47,2078,10,USD
412000,1,2/16/2016,2/21/2016,1611938,59,2169,10,USD
412001,1,2/16/2016,2/21/2016,1482513,43,2165,1,USD
